System	LatexKey	sysKey	harvest URL	License	Paper	Paper Link	Link	Domain	Carrier	Description	Conceptual Model	Abstraction Mechanism	Source	Language Form	Coded Domain	Execution Model	Alt API Available	Extensible	Formal Definition Available	Language	Data manipulation	Provides Accessibility	Juxtaposition strategy	Allowed Data Type	Data model	Interaction source	Open Source	Dependent	Mark Types	Series Types	Output Type Descriptive	Output Type	Coordinate Systems	Annotation Support	Model Formality	Abstraction level	Paper Year	Relationships
SetCoLa	hoffswell2018setcola	setcola	https://github.com/uwdata/setcola/tree/gh-pages	MIT	SetCoLa: High‐Level Constraints for Graph Layout	https://idl.cs.washington.edu/files/2018-SetCoLa-EuroVis.pdf	https://github.com/uwdata/setcola	Graphs	JSON	A language for creating graphs based on high-level constraints.	Domain-specific	Yes	Academic	External	Chart Type	Compiled	No	No	No	JSON	None	No	None	Domain Specific	Graph	Compile Target	Yes	Yes	n/a	n/a	Webcola	Different Lang Spec	Standard, Relational	No	Formal	High	2018	
Shih Volume Vis Language	shih2018declarative	Shih-Volume-Vis-Language	Gathered from paper	Copyright belongs to author	A Declarative Grammar of Flexible Volume Visualization Pipelines	https://ieeexplore.ieee.org/abstract/document/8440063	N/A	SciVis	JSON	A language for describing scientific visualization pipelines.	Domain-specific	Yes	Academic	External	Domain	Interpreted	No	Yes	Yes	JSON	More than filter	No	Language	Domain Specific	Domain-Specific	Application	No	No	density	n/a	Application	GUI Integrated Result	Standard	No	Formal	High	2018	Inspired by Vega-Lite
StructGraphics	tsandilas_vis2021	struct-graphics	https://gitlab.inria.fr/structgraphics/code/	Copyright belongs to author	StructGraphics: Flexible Visualization Design through Data-Agnostic and Reusable Graphical Structures	https://hal.archives-ouvertes.fr/hal-02929811/document	https://www.lri.fr/~fanis/StructGraphics/	Charting	JSON	A language supporting a user interface for specifying expressive reusable chart forms.	Grammar	Yes	Academic	External	Charting	Interpreted	No	No	Yes	JSON	More than filter	No	Spatial	Standard Tabular, Domain Specific	Data table	N/A	Yes	No	rect, circle, triangle, line, text	n/a	Gui specific	GUI Integrated Result	Standard	No	Formal	Low	2020	
SVL	neogy2020representing	svl	https://github.com/mitvis/synchronized-vega-lite	None	Representing Real-Time Multi-User Collaboration in Visualizations	https://arxiv.org/pdf/2009.02587.pdf	https://github.com/mitvis/synchronized-vega-lite	Collaboration	JSON	A language for augmenting Vega-Lite with collaborative visualization aspects.	Grammar	Yes	Academic	External	Interaction	Interpreted	No	No	No	JSON	More than filter	No	Language	Standard Tabular, Domain Specific	Data table	Compile Target	Yes	Yes	n/a	n/a	Vega-Lite	Different Lang Spec	Standard	No	Formal	High	2020	Extends Vega-Lite
Vega	satyanarayan_reactive_2016	vega	https://github.com/vega/vega/tree/master/packages/vega/test/specs-valid	BSD-3-Clause License	Reactive vega: A streaming dataflow architecture for declarative interactive visualization	http://idl.cs.washington.edu/files/2015-ReactiveVega-InfoVis.pdf	https://vega.github.io/	Charting	JSON	A language for creating interactive web-based visualizations.	Grammar	Yes	Academic	External	Charting, Interaction	Interpreted	No	Yes	Yes	JSON	More than filter	Yes	Language	Standard Tabular, Domain Specific	Data table	Custom Runtime	Yes	No	arc, area, image, group, line, path, rect, rule, shape, symbol, text, trail	n/a	SVG/Canvas/WebGL (with extension)	Common Markup format	Standard	No	Formal	Low	2014	
Vega-Lite	satyanarayan2016vega	vega-lite	https://github.com/vega/vega-lite/tree/master/examples	BSD-3-Clause License	Vega-lite: A grammar of interactive graphics	https://idl.cs.washington.edu/files/2017-VegaLite-InfoVis.pdf	https://vega.github.io/	Charting	JSON	A language for creating interactive web-based visualizations.	Grammar	Yes	Academic	External	Charting, Interaction	Compiled	Yes	Yes	Yes	JSON	More than filter	No	Language	Standard Tabular, Domain Specific	Data table	Compile Target	Yes	No	area, bar, circle, line, point, rect, rule, square, text, tick, geoshape	n/a	Vega	Different Lang Spec	Standard	No	Formal	Low	2016	Compiles to Vega
VizGrammar	VizGrammar	VizGrammar	https://github.com/wso2/VizGrammar	Apache-2.0 license	N/A	N/A	https://github.com/wso2/VizGrammar	Charting	JSON	A language for simplifying the usage of Vega.	Series-based	No	Open source	External	Charting	Interpreted	No	No	No	JSON	None	No	None	Standard Tabular	Data table	Compile Target	Yes	No	n/a	arc, bar, line, map, number, scatter, table, pie	SVG	Common Markup format	Standard	No	Colloquial	High	N/A	Wraps Vega
VizML	wilkinson2012grammar	vizml	https://www.ibm.com/docs/en/spss-statistics/24.0.0?topic=reference-examples	Copyright held by IBM	Grammar of Graphics	https://link.springer.com/book/10.1007/0-387-28695-0	https://www.ibm.com/docs/en/spss-statistics/24.0.0?topic=reference-vizml	Charting	XML	A language implementing the grammar of graphics.	Grammar	No	Industry	External	Charting	Compiled	No	Yes	Yes	XML	More than filter	No	Language	Standard Tabular, Domain Specific	Algebra	N/A	No	No	bar, polygon, line, boxplot, point	n/a	SVG	Common Markup format	Standard	No	Formal	High	2012	
VizQL	hanrahan2006vizql	vizql	N/A	N/A	Vizql: a language for query, analysis and visualization	https://dl.acm.org/doi/abs/10.1145/1142473.1142560	N/A	Charting	XML	A language for specifying data cube-based visualization in tableau.	Grammar	No	Industry	External	Charting	Compiled	No	No	No	XML	More than filter	Unknown	Language	Standard Tabular, Domain Specific	Algebra	Custom Runtime	No	No	bar, line, area, square, shape, text, map, gannt bar, polygon, density	n/a	Tabulau	GUI Integrated Result	Standard	Yes	Formal	High	2006	
VR-Viz	saifee2018vr	vr-viz	https://github.com/mustafasaifee42/VR-Viz	GPL-3.0 License	VR-Viz: Visualization system for data visualization in VR	https://aaltodoc.aalto.fi/handle/123456789/36113	https://github.com/mustafasaifee42/VR-Viz	XR	JSON	A langauge for doing data visualization in VR, features both a lighting language and a data language.	Domain-specific	No	Academic	External	Domain	Interpreted	No	No	No	JSON	None	No	Spatial	Standard Tabular, Domain Specific	Data table	Custom Runtime	Yes	No	n/a	bargraph, connectedscatterplot, contourmap, contourplot, crosssectionview, flowmap, forcedirectedgraph, isolinemap, lollipopchart, mapbarchart, mapstackedbarchart, maptimebars, meshplot, parametriccurveplot, parametricsurfaceplot, pointcloud, prismmap, rectanglechart, scatterplot, spiralchart, stackedbargraph, surfaceplot timeseries, treemap, waterfallplot, 	VR	3D Engine	Standard	No	Formal	Low	2018	Inspired by Vega-Lite
VRIA	butcher2020vria	vriajs	https://github.com/vriajs/vria	MIT	VRIA: A Web-Based Framework for Creating Immersive Analytics Experiences	https://research.bangor.ac.uk/portal/files/27234795/VRIA_A_Web_based_Framework_for_Creating_Immersive_Analytics_Experiences.pdf	https://vriajs.github.io/vria/#/builder	XR	JSON	A language for Immersive Analytics.	Grammar	No	Academic	External	Domain	Compiled	No	Yes	Yes	JSON	More than filter	No	Spatial	Standard Tabular, Inline	Data table	Custom Runtime	Yes	No	point, bar	n/a	VR	3D Engine	Standard	No	Formal	High	2020	Extends Vega-Lite
XML Charts	XML_SWF_Charts	xml_charts	https://www.maani.us/xml_charts/	Copyright held by maani.us	N/A	N/A	https://www.maani.us/xml_charts/index.php	Charting	XML	A language for charts and graphs from XML data.	Series-based	No	Industry	External	Charting	Compiled	No	No	Yes	XML	None	No	External	Inline	Data table	Custom Runtime	No	No	n/a	3d area, 3d pie, 3d stacked area, 3d column, area, bar, bubble, candlestick, column, composite, custom, donut, floating bar, floating column, image pie, image column, joined, line, mixed, parallel 3d column, pie, polar, scatter, stacked 3d column, stacked area, stacked bar, stacked column	Flash	Common Markup format	Standard	No	Colloquial	High	N/A	
ZingChart	ZingChart	zingchart	https://github.com/zingchart/ZingChart	License prevents replication	N/A	N/A	https://www.zingchart.com/docs/chart-types/area	Responsive Vis	JS	A language for creating web-based charts.	Series-based	Yes	Industry	Internal	Charting, Interaction	Embedded	Yes	No	No	JSON embedded in JS	Filters	No	Language	Standard Tabular, Domain Specific	Series	Custom Runtime	Yes	No	n/a	3d area, 3d bar, 3d horizontal bar, 3d line, 3d mixed charts, 3d pie, 3d donut, 3d waterfall, 3d horizontal waterfall, area, bar, box plot, bubble pack, bubble pie, bubble, bullet, calendar, chord, depth, flame, funnel, gauge, grid, heat map, heatmap plugin, interactive maps, line, mixed, nested pie, organizational diagram, pareto, pie, pop. pyramids, radar, range, rankflow, scatter, scorecard, stock, stream, sunburst, tile map, tree module, tree map, variwide, vector plot, venn diagram, violin, waterfall, word cloud	HTML/SVG	Common Markup format	Standard, Relational	Yes	Colloquial	High	N/A	
